,baseMean,log2FoldChange,lfcSE,pvalue,padj
SPOUT1,982.4907055,-0.141588466,0.112798825,0.163048995,0.366349316
CDK14,345.7260022,0.162131874,0.135584598,0.163072787,0.366349316
C5orf15,1861.979118,0.103933822,0.078082794,0.163102559,0.366361657
POLR2E,4770.28171,0.106664237,0.080424702,0.163193859,0.366512179
LRRC20,39.4345122,0.209316109,0.237715536,0.16322029,0.36651699
TFG,1529.998232,-0.104151415,0.078540781,0.163278399,0.366592923
PTCH1,160.631297,-0.208175782,0.228957057,0.1633118,0.366613368
PSMB4,3379.25264,0.099724332,0.074757215,0.163368299,0.366685652
TNC,689.9481666,-0.179037203,0.158238145,0.16339432,0.366689514
COQ6,433.1569049,-0.126444191,0.098104204,0.163461703,0.366786185
ATP5F1D,1473.641596,-0.116809045,0.08948468,0.163516254,0.366796433
ANKAR,62.21332103,0.206774469,0.234908376,0.163525297,0.366796433
DNAH1,705.7800339,0.163383288,0.137307106,0.163567127,0.366796433
SPMIP5,8.771412126,0.142782476,0.290659321,0.163573274,0.366796433
WWTR1,218.3793278,0.180304029,0.160620726,0.163587806,0.366796433
POLR2J3,2276.702715,-0.118214338,0.090976373,0.163631511,0.366839919
ALOX5,8381.584146,-0.105742762,0.080020751,0.163704395,0.366907235
FMC1-LUC7L2,710.0731672,-0.143001104,0.114749977,0.16373189,0.366907235
PDIA4,5288.835608,0.106635191,0.079840517,0.163734481,0.366907235
CDC16,1668.91268,0.105813061,0.079705436,0.164015929,0.367483352
HNRNPLL,1271.667528,-0.130620665,0.102210775,0.164162004,0.367756032
PHB1,3326.208397,0.104437311,0.078900405,0.164235513,0.367866096
ANXA2,36444.10132,-0.121687832,0.09417492,0.164549952,0.368515699
MCOLN2,195.1253068,-0.178300319,0.158466396,0.164586712,0.368543327
SLC39A1,6383.311146,-0.092241678,0.069013495,0.164648378,0.36862671
CNNM2,387.8836387,-0.172252052,0.149549848,0.164699385,0.368635847
DDOST,9274.385958,-0.076839755,0.05748804,0.164701317,0.368635847
PDE2A,34.90046487,0.202193002,0.269001841,0.164737436,0.368662007
BARD1,235.0621509,-0.181298384,0.163141699,0.16479192,0.368729251
MYLK3,111.9449384,0.181735081,0.16365484,0.164912404,0.368881707
ZBTB39,373.9368681,-0.134042179,0.105909844,0.164919611,0.368881707
STAU1,3239.503185,-0.079238714,0.058593381,0.164933392,0.368881707
PRSS51,50.19675175,0.198042546,0.276556906,0.164958934,0.36888416
HNRNPA1P49,9.617541637,0.158501282,0.293035168,0.165137801,0.36922943
TNNI2,255.9707384,0.161019726,0.135158957,0.165243371,0.369410736
TRMT61B,238.1698398,0.151932074,0.124570642,0.165304536,0.369487636
FBXW2,1907.630939,0.090176932,0.067402111,0.165351518,0.369487636
MKNK2,3120.982986,0.132211081,0.103712438,0.165368237,0.369487636
GRIN2C,17.627565,0.180796664,0.289400015,0.165375712,0.369487636
PPP1R10,2340.408314,-0.112031535,0.085681406,0.165516829,0.369748178
PTGES3L-AARSD1,9.7875405,-0.120269132,0.284507417,0.165725463,0.370153442
AGAP1,393.932525,0.165261821,0.141081382,0.165756982,0.370153442
GTF2F2,672.7700989,0.146348443,0.118708428,0.165771833,0.370153442
PSMC2,2830.543343,-0.091386601,0.067756666,0.16599204,0.370590307
