,baseMean,log2FoldChange,lfcSE,pvalue,padj
PLEKHM2,8268.520989,-0.218473014,0.072161186,0.000258382,0.01027148
RTN2,634.9013814,-0.239456305,0.080632512,0.000259976,0.01027148
DCAF15,1472.762517,-0.207559265,0.068321989,0.000260956,0.01027148
MAP1S,4429.721753,-0.360754701,0.127916548,0.000261191,0.01027148
SQSTM1,15379.0251,-0.185826433,0.060593397,0.000261242,0.01027148
CYCS,4164.895795,0.256892222,0.087852577,0.000262867,0.01029546
CALM2,12910.42146,0.252132471,0.083900572,0.000271523,0.010593572
GAA,12548.55695,-0.267961465,0.092420463,0.000277976,0.010732674
BCKDK,2139.171427,-0.182124302,0.059648903,0.000278447,0.010732674
AP1B1,18755.82739,-0.200389547,0.066131115,0.000278531,0.010732674
TOLLIP,3568.043876,-0.291445177,0.101836481,0.000279545,0.010732674
INTS1,5181.057882,-0.24583292,0.086292623,0.000280378,0.010732674
SLC43A2,974.6562306,-0.35368757,0.125710175,0.000282342,0.010767226
GTF3C3,1040.154231,0.265811872,0.092718208,0.000283956,0.010782628
SECISBP2L,2052.380194,0.231535114,0.079225435,0.000284872,0.010782628
SH3BP1,5957.112309,-0.255649883,0.086756146,0.000286495,0.010803746
NFKBIE,2969.200575,-0.215424126,0.072143669,0.000289536,0.010877992
DSTN,1995.783805,0.227612302,0.077258077,0.000295118,0.010908814
PHACTR2,1796.923677,0.19701417,0.065335919,0.000295558,0.010908814
RPS3A,9841.277837,0.292283178,0.102683753,0.000296136,0.010908814
SMIM13,772.5854587,0.230553764,0.078358782,0.000296154,0.010908814
ASF1A,572.841388,0.294956664,0.104560623,0.000298029,0.010908814
CAMSAP2,1601.035042,0.207032586,0.06918331,0.000299283,0.010908814
RNF20,1743.609597,0.236089136,0.08077727,0.000299853,0.010908814
HLA-DMA,1145.954152,-0.265828838,0.092415577,0.000300241,0.010908814
TPMT,1307.76873,0.230775303,0.078666081,0.000300341,0.010908814
RASSF8,866.0140326,0.369283507,0.1352377,0.000302762,0.010908814
ZFYVE19,908.508896,-0.225975583,0.076660123,0.000302796,0.010908814
ITGAL,9437.720647,-0.237710408,0.081946409,0.000303457,0.010908814
N4BP2,771.0089195,0.273785195,0.096115844,0.000304337,0.010908814
OGFRL1,5193.718067,0.212350046,0.071480771,0.000305777,0.010921833
