,baseMean,log2FoldChange,lfcSE,pvalue,padj
MARCKSL1,176.3557319,0.817491146,0.192123454,9.36E-07,4.86E-05
DIRAS1,2182.951716,-0.248975888,0.05550727,9.45E-07,4.89E-05
MS4A14,839.8060114,-0.375789556,0.086205837,9.72E-07,5.01E-05
SLC29A1,9983.55255,-0.253816918,0.056880805,9.90E-07,5.08E-05
TUBA1A,4815.293923,0.355767096,0.081491859,1.02E-06,5.19E-05
MXD4,3196.744629,-0.366345972,0.084346343,1.15E-06,5.83E-05
NFATC2,1075.718177,-0.393790618,0.091097415,1.16E-06,5.87E-05
SELENOI,1065.172265,0.356581443,0.082132985,1.17E-06,5.90E-05
PIK3IP1,891.9992129,-0.433150106,0.100703254,1.17E-06,5.90E-05
CACFD1,198.4837351,-0.602605528,0.141694832,1.21E-06,6.06E-05
RASA2,619.4544262,0.398647792,0.092856802,1.26E-06,6.27E-05
DPEP2,907.2298423,-0.521068012,0.122927508,1.34E-06,6.67E-05
AMDHD2,2346.636952,-0.391208822,0.091719011,1.35E-06,6.70E-05
B3GNT7,933.9742811,-0.356001827,0.082862408,1.36E-06,6.73E-05
FNDC3B,5912.965062,0.210626083,0.047085449,1.37E-06,6.76E-05
BCAT1,5937.350337,0.276023239,0.062999961,1.39E-06,6.82E-05
ASPH,6512.62225,0.279704065,0.064051899,1.40E-06,6.82E-05
CELSR2,267.9487886,-0.652593746,0.15565855,1.42E-06,6.91E-05
PPFIBP1,855.1385583,0.453685983,0.10715525,1.46E-06,7.06E-05
MCM4,1444.876442,0.485904372,0.115407392,1.48E-06,7.16E-05
SRXN1,975.6998523,0.311727231,0.072352149,1.56E-06,7.51E-05
TESK2,654.935849,-0.437272827,0.103524756,1.61E-06,7.72E-05
ENG,30214.9536,-0.298847432,0.071050159,1.62E-06,7.74E-05
SLC37A2,12986.37605,-0.252194749,0.057787087,1.73E-06,8.21E-05
BATF3,172.2603574,0.682330086,0.165347187,1.75E-06,8.28E-05
KIAA2013,3520.493945,-0.231772637,0.052860833,1.76E-06,8.29E-05
CNIH4,1441.696265,0.34253685,0.080530936,1.76E-06,8.29E-05
ASRGL1,415.5485893,-0.499578058,0.119697837,1.82E-06,8.53E-05
SYK,8397.212908,-0.223944133,0.050940137,1.84E-06,8.57E-05
NUCB1,9627.869431,-0.273071885,0.063291413,1.90E-06,8.80E-05
CCL7,366.1872976,1.708128865,0.425054648,1.90E-06,8.80E-05
PI4K2B,981.9510763,0.356430596,0.084413206,1.93E-06,8.89E-05
TP53INP1,1459.47318,-0.31533181,0.074073912,2.00E-06,9.18E-05
UBE2N,1378.191963,0.323638757,0.076316823,2.04E-06,9.33E-05
STING1,1960.116155,-0.337527484,0.07975497,2.05E-06,9.37E-05
ZDHHC12,1233.297983,-0.322831347,0.076288865,2.16E-06,9.84E-05
MRPS6,5554.883208,0.382544838,0.091730054,2.17E-06,9.84E-05
NFAM1,4738.422881,-0.301497282,0.071205017,2.37E-06,0.000106834
RTN1,3294.604422,-0.279215455,0.065766935,2.37E-06,0.000106834
MCF2L,204.5706151,-0.704950447,0.173526573,2.39E-06,0.000106994
SRSF3,3712.792134,0.354389125,0.084959097,2.39E-06,0.000106994
KCNAB1,158.6993869,-0.727669361,0.179316237,2.44E-06,0.000108799
SLC45A4,855.64728,-0.421995755,0.102198068,2.53E-06,0.000112123
HMGA2,1938.179316,0.906018835,0.226450762,2.55E-06,0.000112659
RBM3,5116.144317,0.282254744,0.066734703,2.56E-06,0.000112659
PPP2R1A,6829.961604,-0.182666738,0.041870122,2.94E-06,0.000129215
CHCHD10,1736.949824,-0.272372808,0.064579176,2.95E-06,0.000129215
NES,2805.529072,0.374416645,0.091139232,2.99E-06,0.000130252
TRAPPC9,885.695264,-0.384825035,0.093722633,3.00E-06,0.000130265
HDAC6,1810.008496,-0.23093339,0.054207045,3.15E-06,0.000136583
SLC35F2,593.6088575,0.349944604,0.08512653,3.22E-06,0.000138959
CCND1,3929.170193,0.370768649,0.090709619,3.23E-06,0.000138959
RETREG2,3578.740563,-0.24783837,0.058683988,3.30E-06,0.000141574
CD37,960.2832844,-0.325118879,0.078693138,3.31E-06,0.000141574
SH2B2,788.2817355,-0.52454777,0.130625023,3.43E-06,0.000146375
PTPRE,4441.231859,0.280797725,0.067512028,3.48E-06,0.000147702
CLSTN1,4963.917954,-0.282683641,0.067873163,3.49E-06,0.000147702
TUBB3,434.4741326,0.505655948,0.126399706,3.51E-06,0.000147947
