,baseMean,log2FoldChange,lfcSE,pvalue,padj
ELMOD2,583.5188323,-0.239306106,0.071784325,5.66E-05,0.002837967
FCGBP,15341.20002,-0.34643967,0.10650242,5.67E-05,0.002837967
IKBKGP1,237.9553012,0.39771813,0.123421065,5.61E-05,0.002837967
MANBA,3810.332583,-0.184599368,0.051370587,5.88E-05,0.002930804
DRAM2,2130.975836,-0.175005959,0.050933899,5.94E-05,0.002934385
DUSP1,784.4321397,0.304495962,0.093400107,5.96E-05,0.002934385
LRRK2,990.8728749,-0.255322063,0.077309829,5.95E-05,0.002934385
EIF4EBP2,5476.293039,-0.164737462,0.050022658,6.05E-05,0.002961817
HNRNPH1,11322.63101,0.148814996,0.04246008,6.07E-05,0.002961817
RNF207,296.3940804,0.425939125,0.133697453,6.27E-05,0.003048972
MRC1,15917.72796,-0.23865565,0.073889139,6.32E-05,0.003059504
PPP1R15A,2277.599641,0.214701553,0.06423929,6.37E-05,0.003071922
LILRB5,230.4540197,0.432904706,0.13645526,6.45E-05,0.00309486
BOLA2B,194.1312884,0.697506016,0.224163257,6.54E-05,0.003111932
GEM,266.5513617,0.435809104,0.137154994,6.51E-05,0.003111932
NNT,3092.639839,-0.179869316,0.053035746,6.56E-05,0.003111932
SOS2,1543.0978,-0.190613157,0.056632482,6.64E-05,0.003136639
DAB2,14130.07968,-0.125170676,0.034724391,6.98E-05,0.003286269
ENO2,351.5836751,0.356938647,0.112499406,7.11E-05,0.003334035
CAMK1,6232.12061,-0.250188544,0.076750069,7.25E-05,0.003385744
BBX,1489.502606,-0.318081329,0.100093563,7.50E-05,0.003476105
HMOX1,4645.322002,-0.206491444,0.062455149,7.49E-05,0.003476105
SH3TC1,5832.716842,0.177287315,0.052802833,7.77E-05,0.003584771
HVCN1,716.3465675,-0.238469795,0.073435489,7.95E-05,0.003655924
FOXO1,448.5047873,-0.368173379,0.117551559,7.99E-05,0.003659657
RNASET2,3881.234785,-0.171725802,0.05106771,8.07E-05,0.003680426
CCL2,4534.269187,0.951285657,0.312048598,8.22E-05,0.003737029
SRSF7,1931.512553,0.209035985,0.063826172,8.26E-05,0.00373826
SYK,8397.212908,-0.16285963,0.048224475,8.42E-05,0.003796591
EXOC4,2515.287443,-0.226365247,0.069937912,8.46E-05,0.003801266
NCS1,1424.248209,0.285898837,0.090305617,8.56E-05,0.003830664
CDC42EP1,343.3527883,0.364860093,0.117917006,9.09E-05,0.004054066
CTTN,2100.909878,0.222338576,0.068948028,9.18E-05,0.004077057
DRC3,97.70958825,0.635518719,0.211145334,9.26E-05,0.004096634
SH3BGRL,7749.693953,-0.203146829,0.062567716,9.53E-05,0.004201274
HAMP,416.0285592,-0.395690564,0.129310009,9.70E-05,0.004251917
PLD4,2745.427599,-0.381883143,0.124758864,9.71E-05,0.004251917
RAP2B,6604.819565,-0.123911032,0.035963893,9.79E-05,0.004269865
MRTO4,1129.931455,0.214185201,0.066559088,9.87E-05,0.004287189
SGPP1,3813.098055,-0.150001644,0.044554708,9.96E-05,0.004310716
TREM1,106.1860971,0.903308191,0.307181363,0.00010264,0.004427293
MMP19,2049.691762,0.177969094,0.054307065,0.000104013,0.004470306
FOLR2,526.3966209,-0.315771256,0.102833622,0.000107766,0.004614937
CCNG2,1224.222157,-0.283134512,0.091966657,0.000112903,0.004817586
INPP5E,681.1742812,0.367275909,0.121662121,0.000113777,0.004837564
POU2F2,3743.271562,-0.211198561,0.066667159,0.000115915,0.004910934
COL23A1,93.664813,-0.550681872,0.186947947,0.000119345,0.005020519
SCARB1,3800.774217,-0.167028858,0.051185137,0.000119049,0.005020519
GPNMB,76483.29347,-0.135621025,0.037452117,0.000120744,0.005061488
SPOCD1,1428.596947,0.270027206,0.087803674,0.000121238,0.005064358
NCKAP1L,16765.6159,-0.139473421,0.041861677,0.000122457,0.005097362
TAB2,4521.564188,-0.170295334,0.052406142,0.000123815,0.005135968
ABHD12,5209.088823,-0.140101476,0.042082587,0.000127786,0.005282278
BMPR2,3505.763909,-0.16005991,0.049335272,0.000132384,0.005453411
NRP2,6316.245676,0.180026266,0.056398279,0.00013575,0.005559951
ZNF331,275.3922465,-0.330680045,0.111018278,0.000135905,0.005559951
PAQR8,706.7327999,-0.223699869,0.072204338,0.000136743,0.005575098
IL1B,627.9550911,0.705669659,0.24482988,0.000138193,0.005614966
FBXO30,1038.729777,-0.219448749,0.0712656,0.000145655,0.00589802
VEGFB,2203.291628,-0.18894353,0.060113251,0.000146311,0.005904528
AMPD3,3487.50348,0.1644567,0.051455903,0.00015363,0.006161196
LILRB4,2915.388375,0.195355586,0.062756977,0.000153706,0.006161196
UHRF1,1034.18479,0.26142236,0.086970486,0.000156488,0.006251648
