,baseMean,log2FoldChange,lfcSE,pvalue,padj
MAOA,279.2827087,-0.019277106,0.15193912,0.874976784,0.938741534
ANAPC5,2776.231631,0.010335589,0.066406944,0.875108901,0.93881653
OR6C4,15.16301218,-0.016327022,0.234946261,0.875493606,0.939153166
SV2B,16.97844042,0.016049785,0.237378133,0.875547166,0.939153166
PQBP1,1470.914539,0.01244609,0.100438735,0.875729087,0.939281536
CLIC1,9391.539651,0.01331852,0.089990063,0.875836017,0.939296265
PRELID2,40.62883194,-0.018236721,0.219591993,0.875885836,0.939296265
LRRC37BP1,44.72613813,0.020637592,0.193169548,0.875929559,0.939296265
MDM4P1,7.359528111,-0.013359758,0.246251303,0.87604367,0.939351878
EXOC3L2,17.12266022,0.017338652,0.230736402,0.876220128,0.939436023
SLC38A2,8624.126499,-0.010274553,0.08122736,0.876246655,0.939436023
PCGF6,325.6319927,-0.016622367,0.121524312,0.87633225,0.939461043
ZNF658,80.13340213,-0.01999934,0.173597998,0.876627747,0.939665212
ARFGAP3,1142.918626,0.011943171,0.080913169,0.87664724,0.939665212
CASP8AP2,513.4807493,-0.016773171,0.122765907,0.876770098,0.939678662
GLT8D2,11.300265,0.015075922,0.240443537,0.876784331,0.939678662
MGRN1,3701.349206,-0.014590046,0.104809331,0.877005525,0.939848972
ERI3,741.5789474,0.01357306,0.094267946,0.877142833,0.939929367
CCDC144A,186.117175,0.01916958,0.15036583,0.877395256,0.940133097
ATP5MF,3700.641254,-0.010793358,0.076543332,0.877703373,0.940391739
IRF9,3028.38739,-0.010182919,0.068794653,0.877805328,0.940391739
ACVR1B,1699.219476,-0.011138052,0.075285594,0.877823594,0.940391739
SEC14L1P1,14.42744676,-0.015933507,0.233587123,0.877959096,0.940419666
MACIR,128.9545958,-0.018728264,0.154088935,0.877974305,0.940419666
TUBA3FP,23.46093788,0.017808578,0.225955994,0.878373275,0.940769405
PCCB,1412.765071,-0.009682774,0.067498173,0.878425508,0.940769405
LRRC37A15P,15.83724915,-0.015670683,0.235485699,0.878601598,0.94084073
NCAM1,28.68750433,0.017757714,0.225533236,0.878616804,0.94084073
CENPH,168.2839239,0.018735985,0.147440189,0.878699529,0.940862548
ERMN,45.29573973,0.019586609,0.204966474,0.878955072,0.941007419
HEPH,9.822684188,0.013958475,0.242841451,0.878959548,0.941007419
H2BC6,18.24463621,0.017406291,0.225881539,0.879160988,0.941156307
UBE2I,3491.872331,0.010976066,0.074889735,0.879250081,0.941184913
FUS,8844.156824,0.010855649,0.074798118,0.87937827,0.941219164
INSYN2B,31.37456895,-0.016762671,0.228600651,0.879486232,0.941219164
SREBF1,3599.385123,-0.014253371,0.107031786,0.879494219,0.941219164
POTEF,42.2693887,-0.019513296,0.196980363,0.879531572,0.941219164
STXBP6,15.86559563,0.016020126,0.234883229,0.879703263,0.941336139
MPZ,62.96728005,0.019766825,0.20406514,0.879767812,0.941338458
TRAF1,328.4464339,-0.018085794,0.14550362,0.880087606,0.941613866
SPINK8,12.62297262,-0.015120411,0.236832176,0.880207133,0.941674983
KIF6,27.58006889,-0.015123725,0.235421477,0.880369689,0.941782122
RCBTB1,632.1213135,0.013888243,0.097216375,0.880497103,0.941851654
LRRC37A4P,408.9524091,0.017773803,0.138398997,0.880685842,0.941886975
SMARCAD1,1142.130158,-0.0132896,0.097694416,0.880686827,0.941886975
BLZF1,785.4105986,-0.01530103,0.114814605,0.880717376,0.941886975
SNRPG,1038.76341,0.011888162,0.083277246,0.880947051,0.942065835
PTPRU,92.76100679,0.019422989,0.202857815,0.881120093,0.942184113
EBAG9,467.6290847,-0.015278483,0.115379528,0.881244411,0.942250277
CNN2P9,18.7857336,0.017525263,0.224764338,0.881329467,0.942274455
GIN1,142.5188441,0.01913368,0.16121136,0.881585779,0.942481714
P2RX5-TAX1BP3,59.68178268,-0.019275489,0.184973292,0.88179215,0.942635558
TUFM,6839.654208,-0.011335301,0.082005398,0.881883459,0.942666388
ERLEC1,2262.151975,0.010532336,0.06641541,0.882021297,0.942668178
STAG3L4,46.17818603,0.018500767,0.19204165,0.882031786,0.942668178
POLB,320.0372263,0.015812602,0.118675601,0.882072543,0.942668178
TCTA,1001.046104,-0.010780597,0.078370967,0.882252349,0.942684556
CALCRL,22.95636469,0.017767313,0.221958964,0.882334646,0.942684556
ZNF551,163.3934426,-0.018982029,0.174497436,0.882401616,0.942684556
PGK1,12493.63086,-0.011891098,0.09173072,0.882412785,0.942684556
C6orf226,116.4034362,0.018966419,0.161183974,0.882458764,0.942684556
RNASEL,598.5513834,0.012875322,0.092581766,0.882462693,0.942684556
MSRB3,13.0669504,0.013319953,0.243269727,0.882826168,0.943006079
MPPED2,10.26321135,0.011693933,0.248242009,0.882971779,0.943094857
SCRG1,29.06132348,0.018583017,0.211713659,0.883156888,0.943225808
NSUN5P1,273.8515598,0.017388752,0.13867144,0.883293323,0.943304759
PSMD14,1769.871864,0.011607436,0.081842508,0.883357567,0.943306609
GSKIP,553.7708892,-0.012875324,0.095095901,0.883855076,0.943749068
WDR25,177.6268962,-0.017921812,0.152698904,0.883923738,0.943749068
GRIA1,7.508375066,0.012668958,0.245536164,0.883987348,0.943749068
SLC30A6,842.582769,-0.012583786,0.093385285,0.884067755,0.943749068
GOLGA6L5P,251.2355661,-0.017069631,0.140356751,0.884173181,0.943749068
AVIL,101.3680743,-0.018866633,0.181769347,0.884231316,0.943749068
PARS2,235.1973992,-0.016129203,0.124735503,0.884251591,0.943749068
PHLPP2,304.2019115,0.014605317,0.109876815,0.884273487,0.943749068
ZNF326,862.2543705,0.013271296,0.097333178,0.884364283,0.943749068
CMAHP,105.0240653,0.018879722,0.165278842,0.884397321,0.943749068
VCX3B,7.258148474,0.005515914,0.259185277,0.884506,0.943798299
ARSL,10.89066308,-0.014528704,0.236468094,0.88462426,0.943815706
